category	file	line	text
fixed-width-integer	clamd/largefile_admission.c	745	static int temporary_filesystem_type(const char *temporary_directory, uint64_t *filesystem_magic)
fixed-width-integer	clamd/largefile_admission.c	753	    *filesystem_magic = (uint64_t)(unsigned long)stats.f_type;
fixed-width-integer	clamd/largefile_admission.c	761	    uint64_t *value)
fixed-width-integer	clamd/largefile_admission.c	773	    *value = (uint64_t)result;
fixed-width-integer	clamd/largefile_admission.c	777	static int option_u64(const struct optstruct *opts, const char *name, uint64_t *value)
fixed-width-integer	clamd/largefile_admission.c	788	    *value = (uint64_t)option->numarg;
fixed-width-integer	clamd/largefile_admission.c	794	    uint64_t max_file_size       = 0;
fixed-width-integer	clamd/largefile_admission.c	795	    uint64_t max_scan_size       = 0;
fixed-width-integer	clamd/largefile_admission.c	796	    uint64_t max_matcher_work    = 0;
fixed-width-integer	clamd/largefile_admission.c	797	    uint64_t max_temporary_size  = 0;
fixed-width-integer	clamd/largefile_admission.c	798	    uint64_t max_contiguous_size = 0;
fixed-width-integer	clamd/largefile_admission.c	799	    uint64_t pcre_max_file_size  = 0;
fixed-width-integer	clamd/largefile_admission.c	800	    uint64_t max_scan_time       = 0;
fixed-width-integer	clamd/largefile_admission.c	801	    uint64_t max_files           = 0;
fixed-width-integer	clamd/largefile_admission.c	802	    uint64_t max_recursion       = 0;
fixed-width-integer	clamd/largefile_admission.c	825	         (uint64_t)CLI_MAX_LARGE_FILESIZE,
fixed-width-integer	clamd/largefile_admission.c	826	         (uint64_t)CLI_MAX_LOGICAL_SCAN_SIZE,
fixed-width-integer	clamd/largefile_admission.c	827	         (uint64_t)CLI_MAX_MATCHER_WORK,
fixed-width-integer	clamd/largefile_admission.c	828	         (uint64_t)CLI_MAX_TEMPORARY_SIZE,
fixed-width-integer	clamd/largefile_admission.c	829	         (uint64_t)CLI_MAX_CONTIGUOUS_SIZE,
fixed-width-integer	clamd/largefile_admission.c	850	    uint64_t max_file_size;
fixed-width-integer	clamd/largefile_admission.c	851	    uint64_t max_scan_size;
fixed-width-integer	clamd/largefile_admission.c	852	    uint64_t max_matcher_work;
fixed-width-integer	clamd/largefile_admission.c	853	    uint64_t max_temporary_size;
fixed-width-integer	clamd/largefile_admission.c	854	    uint64_t max_contiguous_size;
fixed-width-integer	clamd/largefile_admission.c	855	    uint64_t pcre_max_file_size;
fixed-width-integer	clamd/largefile_admission.c	856	    uint64_t stream_max_length = 0;
fixed-width-integer	clamd/largefile_admission.c	857	    uint64_t onaccess_max_file_size = 0;
fixed-width-integer	clamd/largefile_admission.c	858	    uint64_t max_threads;
fixed-width-integer	clamd/largefile_admission.c	859	    uint64_t max_ingress_size;
fixed-width-integer	clamd/largefile_admission.c	860	    uint64_t required_memory;
fixed-width-integer	clamd/largefile_admission.c	861	    uint64_t required_temporary;
fixed-width-integer	clamd/largefile_admission.c	862	    uint64_t available_memory;
fixed-width-integer	clamd/largefile_admission.c	863	    uint64_t free_temporary;
fixed-width-integer	clamd/largefile_admission.c	864	    uint64_t fsize_limit;
fixed-width-integer	clamd/largefile_admission.c	865	    uint64_t filesystem_magic;
fixed-width-integer	clamd/largefile_admission.c	866	    uint64_t memory_basis;
fixed-width-integer	clamd/largefile_admission.c	867	    uint64_t temporary_basis;
fixed-width-integer	clamd/largefile_admission.c	869	    const uint64_t legacy_file_size = LARGEFILE_LEGACY_MAX_FILE_SIZE;
fixed-width-integer	clamd/largefile_admission.c	870	    const uint64_t legacy_scan_size = LARGEFILE_LEGACY_MAX_SCAN_SIZE;
fixed-width-integer	clamd/largefile_admission.c	938	        (max_file_size > (uint64_t)SIZE_MAX) ||
fixed-width-integer	clamd/largefile_admission.c	939	        (max_scan_size > (uint64_t)SIZE_MAX) ||
fixed-width-integer	clamd/largefile_admission.c	940	        (max_matcher_work > (uint64_t)SIZE_MAX) ||
fixed-width-integer	clamd/largefile_admission.c	941	        (max_temporary_size > (uint64_t)SIZE_MAX) ||
fixed-width-integer	clamd/largefile_admission.c	942	        (max_contiguous_size > (uint64_t)SIZE_MAX) ||
fixed-width-integer	clamd/largefile_admission.c	943	        (pcre_max_file_size > (uint64_t)SIZE_MAX)) {
fixed-width-integer	clamd/largefile_admission.h	42	    uint64_t limit_bytes,
fixed-width-integer	clamd/largefile_admission.h	43	    uint64_t required_bytes,
fixed-width-integer	clamd/largefile_admission.h	52	    uint64_t max_threads,
fixed-width-integer	clamd/largefile_admission.h	62	    uint64_t *headroom,
fixed-width-integer	clamd/largefile_admission.h	69	    uint64_t filesystem_magic,
fixed-width-integer	clamd/scanner.c	239	static void publish_scanned_bytes(unsigned long int *destination, uint64_t scanned_bytes)
fixed-width-integer	clamd/scanner.c	241	    uint64_t scaled = scanned_bytes / CL_COUNT_PRECISION;
fixed-width-integer	clamd/scanner.c	246	    *destination = (scaled > (uint64_t)ULONG_MAX) ? ULONG_MAX : (unsigned long int)scaled;
fixed-width-integer	clamd/scanner.c	481	        uint64_t scanned_bytes   = 0;
fixed-width-integer	clamd/scanner.c	696	        uint64_t scanned_bytes   = 0;
fixed-width-integer	clamd/scanner.c	734	        uint64_t scanned_bytes = 0;
fixed-width-integer	clamd/server-th.c	965	                uint32_t cs;
fixed-width-integer	clamd/session.c	216	    uint32_t length;
fixed-width-integer	clamd/session.c	217	    uint32_t network_length;
fixed-width-integer	clamd/session.c	218	    uint32_t terminator = 0;
fixed-width-integer	clamd/session.c	301	    length         = (uint32_t)json_length;
fixed-width-integer	clamd/session.c	671	    uint32_t ver;
fixed-width-integer	clamd/session.c	825	            uint64_t stream_limit;
fixed-width-integer	clamd/session.c	826	            uint64_t temporary_limit;
fixed-width-integer	clamd/session.c	841	            temporary_limit    = (uint64_t)cl_engine_get_num(conn->engine, CL_ENGINE_MAX_TEMPORARY_SIZE, NULL);
fixed-width-integer	clamd/session.h	149	    uint64_t quota;
fixed-width-integer	clamd/session.h	150	    uint64_t stream_bytes;
fixed-width-integer	clamdscan/clamdscan.c	112	        int16_t ping_result = ping_clamd(opts);
fixed-width-integer	clamdscan/client.c	168	int16_t ping_clamd(const struct optstruct *opts)
fixed-width-integer	clamdscan/client.c	171	    uint64_t attempts           = 0;
fixed-width-integer	clamdscan/client.c	172	    uint64_t interval           = 0;
fixed-width-integer	clamdscan/client.c	176	    uint64_t i                  = 0;
fixed-width-integer	clamdscan/client.c	178	    int64_t sockd               = -1;
fixed-width-integer	clamdscan/client.c	180	    uint16_t ret = 0;
fixed-width-integer	clamdscan/client.c	405	        int16_t ping_result = ping_clamd(opts);
fixed-width-integer	clamdscan/client.c	75	uint64_t maxstream;
fixed-width-integer	clamdscan/client.h	33	int16_t ping_clamd(const struct optstruct *opts);
fixed-width-integer	clamdscan/proto.c	427	static int report_json_id(const char *json, uint32_t length, unsigned int *id)
fixed-width-integer	clamdscan/proto.c	454	    uint32_t json_length       = 0;
fixed-width-integer	clamdscan/proto.c	455	    uint32_t terminator_length = 0;
fixed-width-integer	clamdscan/proto.c	71	extern uint64_t maxstream;
fixed-width-integer	clamonacc/clamonacc.c	383	        int16_t ping_result = onas_ping_clamd(&ctx);
fixed-width-integer	clamonacc/clamonacc.c	399	        int16_t ping_result = onas_ping_clamd(&ctx);
fixed-width-integer	clamonacc/clamonacc.h	49	    uint64_t maxstream;
